epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
95,803.593,0.79291,1.73529,0.49923,0.99761,0,0.76434,0.78688,0.76607,0.57601,0.75551,0.77804,0.75391,0.47827,0.91609,1.86374,0.72782,1.13952,0,0.00116411,0.00116411,0.00116411
96,811.962,0.77564,1.68589,0.48454,0.98947,0,0.78213,0.71757,0.75497,0.57225,0.776,0.71064,0.74484,0.4749,0.9072,1.84639,0.71989,1.13155,0,0.00116129,0.00116129,0.00116129
97,820.514,0.78197,1.68711,0.4935,0.9934,0,0.80334,0.74488,0.7762,0.58732,0.79439,0.73588,0.76134,0.48244,0.90348,1.84649,0.66899,1.13231,0,0.00115848,0.00115848,0.00115848
98,828.856,0.7805,1.7,0.4925,0.99005,0,0.75613,0.76241,0.76421,0.57462,0.7649,0.7449,0.75062,0.47472,0.92283,1.88988,0.72453,1.14176,0,0.00115566,0.00115566,0.00115566
99,837.71,0.78298,1.71654,0.49499,0.99678,0,0.78166,0.72947,0.75297,0.56107,0.82602,0.68465,0.74031,0.46393,0.93985,1.89145,0.71036,1.1598,0,0.00115284,0.00115284,0.00115284
100,845.39,0.77035,1.66913,0.48696,0.9839,0,0.71898,0.78865,0.77207,0.58309,0.76652,0.73009,0.76001,0.4842,0.90839,1.86683,0.66948,1.13242,0,0.00115002,0.00115002,0.00115002
101,853.279,0.76832,1.66084,0.48199,0.98529,0,0.75767,0.72757,0.75303,0.56938,0.75005,0.71926,0.74127,0.47105,0.91271,1.84753,0.71914,1.14343,0,0.0011472,0.0011472,0.0011472
102,861.866,0.76903,1.68336,0.48282,0.98968,0,0.78066,0.72032,0.73564,0.55165,0.78828,0.69624,0.72513,0.45565,0.92989,1.84189,0.76963,1.1468,0,0.00114439,0.00114439,0.00114439
103,870.189,0.76311,1.66907,0.48911,0.98881,0,0.78986,0.74892,0.77007,0.58326,0.78481,0.73314,0.76062,0.48665,0.9265,1.84323,0.68791,1.14806,0,0.00114157,0.00114157,0.00114157
104,879.015,0.75146,1.63842,0.48243,0.97991,0,0.79162,0.72932,0.76448,0.57902,0.78681,0.72447,0.75645,0.48637,0.91335,1.8452,0.70041,1.14244,0,0.00113875,0.00113875,0.00113875
105,888.157,0.77413,1.70106,0.48584,0.99032,0,0.77062,0.75312,0.75752,0.56774,0.80057,0.7162,0.74747,0.46257,0.9255,1.88961,0.71782,1.15112,0,0.00113593,0.00113593,0.00113593
106,896.681,0.76437,1.66604,0.47169,0.986,0,0.81204,0.7405,0.7601,0.57548,0.81295,0.72773,0.74708,0.47906,0.91116,1.82534,0.6971,1.1396,0,0.00113311,0.00113311,0.00113311
107,905,0.75205,1.64646,0.47065,0.98063,0,0.79944,0.70554,0.72915,0.54661,0.79536,0.701,0.72077,0.45629,0.92383,1.85655,0.78043,1.15043,0,0.0011303,0.0011303,0.0011303
